ï»¿Metal Name,Month,Price
 Ferro Nickel,Jan-21,1305.933
 Ferro Nickel,Feb-21,1352.305
 Ferro Nickel,Mar-21,1194.287
 Ferro Nickel,Apr-21,1229.486
 Ferro Nickel,May-21,1289.421
 Ferro Nickel,Jun-21,1322.546
 Ferro Nickel,Jul-21,1402.374
 Ferro Nickel,Aug-21,1419.888
 Ferro Nickel,Sep-21,1426.43
 Ferro Nickel,Oct-21,1450.31
 Ferro Nickel,Nov-21,1484.661
 Ferro Nickel,Dec-21,1511.96
 Ferro Nickel,Jan-22,1664.323
 Ferro Nickel,Feb-22,1801.94
 Ferro Nickel,Mar-22,2586.531
 Ferro Nickel,Apr-22,2524.11
 Ferro Nickel,May-22,2169.492
 Ferro Nickel,Jun-22,2003.383
 Ferro Nickel,Jul-22,1710.373
 Ferro Nickel,Aug-22,1754.777
 Ferro Nickel,Sep-22,1827.558
 Ferro Nickel,Oct-22,1814.031
 Ferro Nickel,Nov-22,2091.737
 Ferro Nickel,Dec-22,2384.098
 Ferro Nickel,Jan-23,2308.828
 Ferro Nickel,Feb-23,2207.842
 Ferro Nickel,Mar-23,1916.474
 Ferro Nickel,Apr-23,1959.851
 Ferro Nickel,May-23,1808.888
 Ferro Nickel,Jun-23,1746.441
 Ferro Nickel,Jul-23,1733.212
 Ferro Nickel,Aug-23,1692.022
 Ferro Nickel,Sep-23,1631.655
 Ferro Nickel,Oct-23,1521.626
 Ferro Nickel,Nov-23,1418.224
 Ferro Nickel,Dec-23,1371.177
 Magnesium,Jan-22,5335.0
 Magnesium,Feb-22,5788.0
 Magnesium,Mar-22,5332.0
 Magnesium,Apr-22,5465.0
 Magnesium,May-22,5302.0
 Magnesium,Jun-22,5471.0
 Magnesium,Jul-22,5432.0
 Magnesium,Aug-22,5236.0
 Magnesium,Sep-22,5837.0
 Magnesium,Oct-22,5345.0
 Magnesium,Nov-22,5174.0
 Magnesium,Dec-22,5587.0
Aluminium,Jan-20,126.4699
Aluminium,Feb-20,120.6124
Aluminium,Mar-20,119.7152
Aluminium,Apr-20,111.2309
Aluminium,May-20,110.9454
Aluminium,Jun-20,118.7544
Aluminium,Jul-20,123.3156
Aluminium,Aug-20,129.7245
Aluminium,Sep-20,128.1651
Aluminium,Oct-20,132.7034
Aluminium,Nov-20,143.7289
Aluminium,Dec-20,148.3963
Aluminium,Jan-21,146.506
Aluminium,Feb-21,151.25
Aluminium,Mar-21,159.4512
Aluminium,Apr-21,172.6054
Aluminium,May-21,178.5194
Aluminium,Jun-21,179.9713
Aluminium,Jul-21,186.1266
Aluminium,Aug-21,193.0879
Aluminium,Sep-21,208.6662
Aluminium,Oct-21,219.7959
Aluminium,Nov-21,196.3709
Aluminium,Dec-21,203.6184
Aluminium,Jan-22,223.7903
Aluminium,Feb-22,243.5388
Aluminium,Mar-22,266.7314
Aluminium,Apr-22,247.1648
Aluminium,May-22,218.8097
Aluminium,Jun-22,200.1491
Aluminium,Jul-22,191.7567
Aluminium,Aug-22,193.3816
Aluminium,Sep-22,178.5318
Aluminium,Oct-22,185.7051
Aluminium,Nov-22,192.354
Aluminium,Dec-22,197.8064
Aluminium,Jan-23,204.8715
Aluminium,Feb-23,199.5867
Aluminium,Mar-23,188.9778
Aluminium,Apr-23,192.1936
Aluminium,May-23,186.7807
Aluminium,Jun-23,179.6961
Aluminium,Jul-23,177.4797
Aluminium,Aug-23,176.8768
Aluminium,Sep-23,181.4555
Aluminium,Oct-23,182.4672
Aluminium,Nov-23,183.4281
Molybdenum,Jan-21,337.19
Molybdenum,Feb-21,384.082
Molybdenum,Mar-21,398.584
Molybdenum,Apr-21,376.034
Molybdenum,May-21,422.101
Molybdenum,Jun-21,570.509
Molybdenum,Jul-21,624.785
Molybdenum,Aug-21,638.448
Molybdenum,Sep-21,659.891
Molybdenum,Oct-21,644.907
Molybdenum,Nov-21,643.01
Molybdenum,Dec-21,636.32
Molybdenum,Jan-22,641.22
Molybdenum,Feb-22,646.27
Molybdenum,Mar-22,635.58
Molybdenum,Apr-22,664.11
Molybdenum,May-22,663.18
Molybdenum,Jun-22,612.1
Molybdenum,Jul-22,593.98
Molybdenum,Aug-22,530.35
Molybdenum,Sep-22,610.11
Molybdenum,Oct-22,701.8
Molybdenum,Nov-22,707.2
Molybdenum,Dec-22,905.8
Molybdenum,Jan-23,1161.39
Molybdenum,Feb-23,1394.52
Molybdenum,Mar-23,1196.17
Molybdenum,Apr-23,748.8
Molybdenum,May-23,787.42
Molybdenum,Jun-23,834.84
Molybdenum,Jul-23,834.84
Molybdenum,Aug-23,930.84
Molybdenum,Sep-23,910.41
Molybdenum,Oct-23,790.29
Molybdenum,Nov-23,661.59
Molybdenum,Dec-23,681.25
Vanadium,Jan-20,1497.5
Vanadium,Feb-20,1192.88
Vanadium,Mar-20,1065.58
Vanadium,Apr-20,1007.48
